CoinName,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC1,PC2,PC3,CoinName,Class
HBN,Scrypt,PoW/PoS,89266933.684704,120000000,-0.3349416008654887,1.0300935742802886,-0.5634350794665235,HoboNickels,0
HYP,X11,PoS,1678520090.7713,0,-0.3294733530909275,0.9952816363609864,-0.16658055454446818,HyperStake,0
IFC,Scrypt,PoW,90595753018.6314,90600000000,1.5811744506776315,-1.1540634471823603,-0.017579004609414167,Infinite Coin,1
IOC,X11,PoW/PoS,17650913.9743456,22000000,-0.39698088221072597,1.2465407317975876,-0.5185979450909513,IOCoin,0
IXC,SHA-256,PoW,21089348.999,21000000,-0.1438193946502767,-1.2755037420648698,0.1608505500968881,IXcoin,1
KGC,Scrypt,PoW,151447649.8,265420800,-0.1644272914727358,-1.1330117746515673,0.0037089100241803697,KrugerCoin,1
LKY,Scrypt,PoW,19326319.14375,20000000,-0.1677818013131943,-1.132916514167224,0.003741543420696868,LuckyCoin,1
LTB,Scrypt,PoW,1104344.22938102,1350000,-0.16813668262745632,-1.1329120169245752,0.0037458384282700622,Litebar ,1
MAX,SHA3,PoW/PoS,61445805.0,100000000,-0.40962441627344987,1.9458103229642454,-0.5360839000420367,MaxCoin,0
MEC,Scrypt,PoW,38151999.9930997,42000000,-0.1673957894685852,-1.132922713763656,0.0037370691311844726,MegaCoin,1
MED,HybridScryptHash256,PoW,40431856.9,200000000,-0.1553296085651067,-2.3064761852053426,0.5302177905525474,MediterraneanCoin,1
MINT,Scrypt,PoS,21293925445.4969,0,-0.029342572000916826,0.7854394581257399,-0.21575214242991922,MintCoin,0
MINC,Scrypt,PoW,5804204.88794916,10000000,-0.16801792354728054,-1.132915359970675,0.003744678668521548,MinCoin,1
MZC,SHA-256,PoW/PoS,1613836099.99999,2419200000,-0.2760772642038883,0.8867099958679749,-0.4066950180943613,MazaCoin,0
NAUT,Scrypt,PoS,16180000.0,16180000,-0.28919975748317733,0.7782999371756202,-0.2110319039746464,Nautilus Coin,0
NAV,X13,PoW/PoS,66087096.2077108,0,-0.2783750584577556,1.8098964893781853,-0.6168395892552904,NavCoin,0
NOBL,Scrypt,PoW,2366066305.76482,15000000000,-0.032887942294623954,-1.1406470618418347,0.0030181310216746103,NobleCoin,1
NMC,SHA-256,PoW,14736400.0,21000000,-0.14389701510715158,-1.2755058709826341,0.16085195949553655,Namecoin,1
NYAN,Scrypt,PoW,334709223.483138,337000000,-0.1616806385997004,-1.1329910591383954,0.0036672845415112094,NyanCoin,1
OPAL,X13,PoW/PoS,15156364.3306548,0,-0.27899733114999586,1.8098794221327381,-0.616828290297168,OpalCoin,0
ORB,NeoScrypt,PoW/PoS,3220616.279225,3770000,-0.34988258812634626,0.5657202493536229,-0.39775016889975584,Orbitcoin,0
POT,Scrypt,PoW/PoS,222677226.014206,420000000,-0.3311843280504444,1.029967714448774,-0.5634687376754565,PotCoin,0
PXC,Scrypt,PoW/PoS,73959274.625,98000000,-0.3352846294500949,1.0301009527904954,-0.5634313856484358,PhoenixCoin,0
RDD,Scrypt,PoW/PoS,29315567169.0888,0,0.02129500980172184,1.0399557390860752,-0.5699172954940687,Reddcoin,0
RPC,Scrypt,PoW,1104157.42169891,21000000,-0.16799734916914394,-1.132923189096602,0.003745572461087229,RonPaulCoin,1
SBC,Scrypt,PoW,24215181.725,250000000,-0.16609116729329068,-1.1330456435681167,0.003737345241937763,StableCoin,1
SMC,Scrypt,PoW,25593737.1355044,51200000,-0.16748399050126456,-1.1329321528333363,0.003739730632219007,SmartCoin,1
SUPER,X11,PoS,50707661.7493518,0,-0.34936199763494535,0.9947361449995926,-0.166219425147958,SuperCoin,0
SYNC,X11,PoW/PoS,1177.0,1000,-0.3973525192588691,1.2465473248925045,-0.5185937316975535,SyncCoin,0
SYS,SHA-256,PoW,563336541.299966,888000000,-0.131046417001789,-1.2758149685749665,0.1607185159515786,SysCoin,1
TES,Multiple,PoS,80260463.7331396,100000000,-0.24681760615850343,0.11232390768609964,0.14774719894141147,TeslaCoin,0
TGC,SHA-256,PoW,43536800.0,47011968,-0.14336068357293555,-1.27551100900594,0.16084521800807344,TigerCoin,1
TIT,PHI1612,PoS,1622326490.46336,2300000000,-0.309327150084059,1.5436998236814534,-0.1689260590559669,TittieCoin,0
TOR,X11,PoW/PoS,1431851.00002479,10000000,-0.39726413757252843,1.2465421193380801,-0.5185941844516945,TorCoin,0
TRC,SHA-256,PoW,22935396.0,42000000,-0.14364793118619357,-1.2755150631005021,0.16084985626822998,TerraCoin,1
UNB,SHA-256,PoW,2278150.0,80000000,-0.14363086848668363,-1.2755435905856227,0.16085392464950196,UnbreakableCoin,1
UNO,SHA-256,PoW,200911.79151896,250000,-0.1442217456962438,-1.2754989444065437,0.160855465086228,Unobtanium,1
URO,X11,PoW,1207310.0,0,-0.22861436668576818,-0.9164957767310827,0.048565753598363175,UroCoin,1
